country,region,pop_growth,birth_rate,death_rate,maternal_mort_rate,infant_mort_rate,life_expectancy,total_fert_rate,living_with_hiv,hiv_deaths,literacy,gdp_per_capita,unemployment,inflation,adult_obesity,pop_below_poverty
Sri Lanka,Asia,0.67,14.2,6.5,36.0,7.8,77.5,2.01,3600.0,200.0,91.9,12900.0,4.83,6.5,5.2,6.7
Sudan,Africa,2.69,33.8,6.5,295.0,41.8,66.5,4.72,46000.0,2300.0,60.7,4300.0,19.6,32.4,6.6,46.5
Suriname,South America,0.95,14.9,6.2,120.0,22.1,73.3,1.86,5800.0,200.0,94.4,14900.0,8.9,22.0,26.4,70.0
Svalbard,Arctic Region,-0.03,,,,,,,,,,,,,,
Sweden,Europe,0.79,12.1,9.4,4.0,2.6,82.4,1.87,11000.0,,,51200.0,6.78,1.9,20.6,15.0
Switzerland,Europe,0.66,10.5,8.5,5.0,3.5,82.8,1.57,17000.0,100.0,,62100.0,2.31,0.5,19.5,6.6
Syria,Middle East,4.25,23.8,4.5,31.0,16.5,73.7,2.9,1000.0,100.0,86.4,2900.0,50.0,28.1,27.8,82.5
Taiwan,Southeast Asia,0.11,8.0,7.9,,4.2,80.6,1.14,,,98.5,50500.0,3.73,1.1,,1.5
Tajikistan,Asia,1.52,21.8,5.8,17.0,28.8,69.0,2.51,14000.0,500.0,99.8,3200.0,2.4,7.3,14.2,31.5
Tanzania,Africa,2.71,34.6,7.1,524.0,36.4,63.9,4.59,1700000.0,27000.0,77.9,3200.0,10.3,5.3,8.4,22.8
Thailand,Southeast Asia,0.25,10.7,8.3,37.0,8.6,75.6,1.54,480000.0,14000.0,92.9,17900.0,0.99,0.7000000000000001,10.0,7.2
Timor-Leste,Southeast Asia,2.27,32.0,5.7,142.0,31.7,69.3,4.44,1500.0,100.0,68.1,6000.0,4.4,0.6000000000000001,3.8,41.8
Togo,Africa,2.56,32.0,6.5,396.0,38.5,66.6,4.22,120000.0,3000.0,63.7,1700.0,6.9,-0.7000000000000001,8.4,55.1
Tokelau,Oceania,-0.01,,,,,,,,,,1000.0,,,,
Tonga,Oceania,-0.16,21.0,4.9,52.0,10.3,77.0,2.87,,,99.4,5900.0,1.1,7.4,48.2,22.5
Trinidad And Tobago,Central America and the Caribbean,-0.30000000000000004,11.4,9.1,67.0,20.1,73.9,1.7000000000000002,11000.0,200.0,99.0,31300.0,4.9,1.9,18.6,20.0
Tunisia,Africa,0.85,15.9,6.4,43.0,11.0,76.3,2.06,6500.0,500.0,81.8,11900.0,15.5,5.3,26.9,15.5
Turkey,Middle East,0.45,14.8,6.1,17.0,15.8,75.7,1.96,,,96.2,27000.0,13.68,11.1,32.1,21.9
Turkmenistan,Asia,1.06,18.3,6.1,7.0,30.8,71.3,2.04,,,99.7,18200.0,11.0,8.0,18.6,0.2
Turks And Caicos Islands,Central America and the Caribbean,2.0,14.1,3.4,,9.3,80.3,1.7000000000000002,,,,29100.0,10.0,4.0,,
Tuvalu,Oceania,0.87,23.4,8.2,,26.6,67.9,2.88,,,,3800.0,,4.1,51.6,26.3
Uganda,Africa,3.34,42.3,5.3,375.0,32.6,68.2,5.54,1500000.0,21000.0,76.5,2400.0,9.4,5.6,5.3,21.4
Ukraine,AsiaEurope,-0.1,9.6,14.0,19.0,7.4,72.9,1.56,250000.0,5900.0,99.8,8800.0,8.89,14.4,24.1,3.8
United Arab Emirates,Middle East,1.49,9.5,2.0,3.0,5.3,79.0,1.73,,,93.8,68600.0,1.6,2.0,31.7,19.5
United Kingdom,Europe,0.49,11.9,9.5,7.0,4.1,81.1,1.86,,,,44300.0,3.17,2.7,27.8,15.0
United States,North America,0.72,12.4,8.3,19.0,5.3,80.3,1.84,,,,59800.0,3.89,2.1,36.2,15.1
Uruguay,South America,0.27,12.9,9.3,17.0,7.8,77.9,1.77,14000.0,200.0,98.7,22400.0,7.6,6.2,27.9,9.7
Uzbekistan,Asia,0.88,16.1,5.4,29.0,16.3,74.8,1.74,50000.0,1000.0,100.0,6900.0,5.0,12.5,16.6,14.0
Vanuatu,Oceania,1.73,22.4,4.0,72.0,12.7,74.6,2.79,,,87.5,2700.0,1.7000000000000002,3.1,25.2,
Venezuela,South America,-0.18,17.9,7.5,125.0,27.9,71.0,2.26,110000.0,,97.1,12500.0,6.9,1087.5,25.6,19.7
Vietnam,Southeast Asia,0.84,14.5,6.0,43.0,15.7,74.4,1.77,230000.0,5000.0,95.0,6900.0,3.11,3.5,2.1,8.0
Virgin Islands,Central America and the Caribbean,-0.37,12.1,8.5,,7.4,79.8,2.03,,,,37000.0,10.4,1.0,,28.9
Wake Island,Oceania,,,,,,,,,,,,,,,
Wallis And Futuna,Oceania,0.28,12.7,5.7,,4.2,80.2,1.71,,,,3800.0,8.8,0.9,,
West Bank,Middle East,1.77,25.2,3.4,27.0,12.8,75.9,3.07,,,97.2,4300.0,27.9,0.2,,18.0
Western Sahara,Africa,2.54,28.0,7.7,,47.9,64.5,3.65,,,,2500.0,,,,
Yemen,Middle East,2.04,25.8,5.6,164.0,41.9,66.9,3.2,11000.0,500.0,70.1,2500.0,27.0,24.7,17.1,54.0
Zambia,Africa,2.89,40.4,11.6,213.0,56.0,53.6,5.49,1200000.0,17000.0,86.7,4000.0,15.0,6.6,8.1,54.4
Zimbabwe,Africa,1.87,33.6,9.3,458.0,30.3,62.3,3.93,1400000.0,20000.0,86.5,2300.0,11.3,0.9,15.5,72.3
